data_type,fuel_class,2016,2017,2019,2021
dw,all,10.781394065313208,12.996870909060727,10.873352760995523,7.45058889569529
dw,hr0001,0.3297756851368045,0.080764592690689,0.1655912159635931,0.0731024641787772
dw,hr0010,2.7708791634173116,0.2149268016546622,0.5425638803322265,0.536676765250364
dw,hr0100,2.3394155534140477,0.17349038480963896,0.2434639753667241,0.16748017206492105
dw,hr1000r,3.289498102335815,12.527689129905736,9.921733689332981,6.673329494201227
dw,hr1000s,2.0518255610092297,0,0,0
ld,all,3.1125,0.7291666666666666,1.8611111111111112,0.9263888888888889
ld,duff,1.5694444444444444,0.4375,0.08472222222222223,0.14583333333333334
ld,litter,1.5430555555555556,0.2916666666666667,1.7763888888888888,0.7805555555555556
