data_type,year,plot_id,value,lab_year,lab_year_abbr,lab_type,subset,statistic
wd,2019,RxF03,6.713508390087183,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF04,3.4867806504648433,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF05,0.14982337380388663,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF06,5.563207289738078,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF07,15.035726006943854,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF08,15.755705123058856,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF09,0.09332398284526665,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2021,RxF01,9.433603459150723,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF02,0.6579790248661611,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF03,17.17060493452378,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF04,7.1966573217375185,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF05,4.783644948382088,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF06,1.8083322512468776,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF07,22.147510713174583,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF08,2.0513273507500305,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF09,1.8056400574258504,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
