fuel_type,fuel_class,plot_id,n_transect,plot_tran,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time
wd,hr0100,RxF01,1,RxF01_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF01,1,RxF01_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF01,1,RxF01_1,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF01,2,RxF01_2,2021,0.23995679294404088,Metric tons per hectare,0.10702800755755615,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4
wd,hr0010,RxF01,2,RxF01_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,10-hr,4 Years post-fire (2021),4-y post-fire (2021),2,4
wd,hr0100,RxF01,2,RxF01_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,4 Years post-fire (2021),4-y post-fire (2021),3,4
wd,hr1000r,RxF01,2,RxF01_2,2021,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),4,4
wd,hr1000s,RxF01,2,RxF01_2,2021,39.28394039304703,Metric tons per hectare,17.521828899664154,Tons per acre,Coarse woody debris,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),5,4
wd,hr0001,RxF02,1,RxF02_1,2016,0.7912883786095032,Metric tons per hectare,0.35293861668577303,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1
wd,hr0010,RxF02,1,RxF02_1,2016,6.814414836848337,Metric tons per hectare,3.039435698861881,Tons per acre,Coarse woody debris,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),2,1
wd,hr0100,RxF02,1,RxF02_1,2016,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),3,1
