fuel_type,fuel_class,plot_id,n_transect,quadrat,plot_tran,time,si_value,si_units,us_value,us_units,lab_time,lab_fuel,lab_class,lab_time_abbr,order_class,order_time
wd,hr0010,FOR05,2,NA,FOR05_2,t2,7.223304890018084,Metric tons per hectare,3.2218130642364335,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR05,3,NA,FOR05_3,t1,5.85108140740931,Metric tons per hectare,2.609759771369005,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR05,3,NA,FOR05_3,t2,4.012998438121716,Metric tons per hectare,1.7899190178955025,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR06,1,NA,FOR06_1,t1,0.7194734926748106,Metric tons per hectare,0.32090699940892536,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR06,1,NA,FOR06_1,t2,5.263521142090108,Metric tons per hectare,2.3476900722971044,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR06,2,NA,FOR06_2,t1,4.316840956048864,Metric tons per hectare,1.925441996453552,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR06,2,NA,FOR06_2,t2,9.211161998657689,Metric tons per hectare,4.108457626519932,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR06,3,NA,FOR06_3,t1,0,Metric tons per hectare,0,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
wd,hr0010,FOR06,3,NA,FOR06_3,t2,2.1048020107088767,Metric tons per hectare,0.9388055355525765,Tons per acre,Post-thinning,Coarse woody debris,10-hr,Post-thin,2,2
wd,hr0010,FOR07,1,NA,FOR07_1,t1,12.917295066328835,Metric tons per hectare,5.761505381948633,Tons per acre,Pre-thinning,Coarse woody debris,10-hr,Pre-thin,2,1
