fuel_type,fuel_class,plot_id,time,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
dl,duff,RxF09,2019,0,Depth in centimeters,0,Depth in inches,Duff & litter,Duff,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
dl,duff,RxF09,2021,0.254,Depth in centimeters,0.1,Depth in inches,Duff & litter,Duff,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
dl,litter,RxF01,2016,1.5875,Depth in centimeters,0.625,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF01,2017,0.92075,Depth in centimeters,0.3625,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF01,2019,3.2385,Depth in centimeters,1.275,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF01,2021,4.28625,Depth in centimeters,1.6875,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF02,2016,6.0325,Depth in centimeters,2.375,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF02,2017,1.17475,Depth in centimeters,0.4625,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF02,2019,8.41375,Depth in centimeters,3.3125,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF02,2021,1.5875,Depth in centimeters,0.625,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF03,2016,4.921250000000001,Depth in centimeters,1.9375,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF03,2017,2.667,Depth in centimeters,1.05,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF03,2019,1.27,Depth in centimeters,0.5,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF03,2021,0.8572500000000001,Depth in centimeters,0.3375,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF04,2016,3.01625,Depth in centimeters,1.1875,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF04,2017,0.508,Depth in centimeters,0.2,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF04,2019,3.65125,Depth in centimeters,1.4375,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF04,2021,2.38125,Depth in centimeters,0.9375,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF05,2016,1.5875,Depth in centimeters,0.625,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF05,2017,0.34925,Depth in centimeters,0.1375,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF05,2019,6.0325,Depth in centimeters,2.375,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF05,2021,0.762,Depth in centimeters,0.3,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF06,2016,2.4130000000000003,Depth in centimeters,0.95,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF06,2017,0.1905,Depth in centimeters,0.07500000000000001,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF06,2019,9.525,Depth in centimeters,3.75,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF06,2021,1.11125,Depth in centimeters,0.4375,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF07,2016,5.715000000000001,Depth in centimeters,2.25,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF07,2017,0.53975,Depth in centimeters,0.2125,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF07,2019,3.96875,Depth in centimeters,1.5625,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF07,2021,2.8575,Depth in centimeters,1.125,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF08,2016,3.65125,Depth in centimeters,1.4375,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF08,2017,0.1905,Depth in centimeters,0.07500000000000001,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF08,2019,2.69875,Depth in centimeters,1.0625,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF08,2021,2.82575,Depth in centimeters,1.1125,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
dl,litter,RxF09,2016,6.3500000000000005,Depth in centimeters,2.5,Depth in inches,Duff & litter,Litter,1 Year pre-fire (2016),1-y pre-fire (2016),2,1,type_class_time_plot,mean
dl,litter,RxF09,2017,0.127,Depth in centimeters,0.05,Depth in inches,Duff & litter,Litter,0 Years post-fire (2017),0-y post-fire (2017),2,2,type_class_time_plot,mean
dl,litter,RxF09,2019,1.80975,Depth in centimeters,0.7125,Depth in inches,Duff & litter,Litter,2 Years post-fire (2019),2-y post-fire (2019),2,3,type_class_time_plot,mean
dl,litter,RxF09,2021,1.17475,Depth in centimeters,0.4625,Depth in inches,Duff & litter,Litter,4 Years post-fire (2021),4-y post-fire (2021),2,4,type_class_time_plot,mean
wd,hr0001,RxF01,2016,1.0912266224483713,Metric tons per hectare,0.48672017058357325,Tons per acre,Coarse woody debris,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),1,1,type_class_time_plot,mean
wd,hr0001,RxF01,2017,0.2837991841842865,Metric tons per hectare,0.12658304379316973,Tons per acre,Coarse woody debris,1-hr,0 Years post-fire (2017),0-y post-fire (2017),1,2,type_class_time_plot,mean
wd,hr0001,RxF01,2019,0.715783241279191,Metric tons per hectare,0.31926103536092376,Tons per acre,Coarse woody debris,1-hr,2 Years post-fire (2019),2-y post-fire (2019),1,3,type_class_time_plot,mean
wd,hr0001,RxF01,2021,0.1649702951490281,Metric tons per hectare,0.07358175519581985,Tons per acre,Coarse woody debris,1-hr,4 Years post-fire (2021),4-y post-fire (2021),1,4,type_class_time_plot,mean
