data_type,year,plot_id,value,value_si,lab_year,lab_year_abbr,lab_type,subset,statistic
wd,2017,RxF06,0.7730662996510463,1.7332146438176457,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF07,5.069333863179666,11.365446521248812,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF08,5.796794054970096,12.996412271242955,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2017,RxF09,0.005361524254384823,0.012020537378330773,0 Years post-fire (2017),0-y post-fire (2017),Coarse woody debris,yr_plot,total
wd,2019,RxF01,9.972178999162397,22.357625316122093,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF02,0.2402410072411532,0.5386203382346655,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF03,1.3427016780174366,3.010337162115093,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF04,0.6973561300929687,1.5634724436684357,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF05,0.029964674760777327,0.06718080081366276,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF06,1.1126414579476156,2.4945421487185544,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF07,3.0071452013887705,6.742019541513624,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF08,3.1511410246117713,7.064858177179591,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2019,RxF09,0.01866479656905333,0.041846473907817566,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris,yr_plot,total
wd,2021,RxF01,1.8867206918301445,4.230027791083184,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF02,0.13159580497323223,0.2950377947499866,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF03,3.4341209869047558,7.699299252640463,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF04,1.4393314643475037,3.2269811430671034,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF05,0.9567289896764175,2.144986394854528,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF06,0.3616664502493755,0.8108561814590999,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF07,4.429502142634917,9.930943803787482,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF08,0.4102654701500061,0.9198151840763137,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
wd,2021,RxF09,0.3611280114851701,0.8096490017497513,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris,yr_plot,total
