fuel_type,fuel_class,plot_id,time,value_norm,si_value,si_units,us_value,us_units,lab_fuel,lab_class,lab_time,lab_time_abbr,order_class,order_time,subset_by,metric
wd,hr0010,FOR05,t2,1.0364333894937894,6.034218948659256,Metric tons per hectare,2.6914446693395435,Tons per acre,Coarse woody debris,10-hr,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0010,FOR06,t1,-1.0364333894937894,1.6787714829078917,Metric tons per hectare,0.7487829986208259,Tons per acre,Coarse woody debris,10-hr,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
wd,hr0010,FOR06,t2,0.3853204664075676,5.526495050485558,Metric tons per hectare,2.4649844114565376,Tons per acre,Coarse woody debris,10-hr,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0010,FOR07,t1,0.6744897501960817,6.012379132882556,Metric tons per hectare,2.6817034491001586,Tons per acre,Coarse woody debris,10-hr,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
wd,hr0010,FOR07,t2,1.6448536269514715,8.459696341999326,Metric tons per hectare,3.773281151650012,Tons per acre,Coarse woody debris,10-hr,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0010,FOR08,t1,-1.6448536269514726,1.4468301429224613,Metric tons per hectare,0.6453301261919987,Tons per acre,Coarse woody debris,10-hr,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
wd,hr0010,FOR08,t2,-0.6744897501960817,1.987691230715288,Metric tons per hectare,0.8865705756981659,Tons per acre,Coarse woody debris,10-hr,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0010,FOR10,t1,-0.3853204664075676,2.731434999333734,Metric tons per hectare,1.2183028542969376,Tons per acre,Coarse woody debris,10-hr,Pre-thinning,Pre-thin,2,1,type_class_time_plot,mean
wd,hr0010,FOR10,t2,-0.125661346855074,3.345917663446735,Metric tons per hectare,1.4923807597889094,Tons per acre,Coarse woody debris,10-hr,Post-thinning,Post-thin,2,2,type_class_time_plot,mean
wd,hr0100,FOR05,t1,-1.0364333894937894,1.108679959047138,Metric tons per hectare,0.4945048880674121,Tons per acre,Coarse woody debris,100-hr,Pre-thinning,Pre-thin,3,1,type_class_time_plot,mean
wd,hr0100,FOR05,t2,1.0364333894937894,14.516715047640597,Metric tons per hectare,6.4748952041215855,Tons per acre,Coarse woody debris,100-hr,Post-thinning,Post-thin,3,2,type_class_time_plot,mean
wd,hr0100,FOR06,t1,-1.6448536269514726,1.0623470647659112,Metric tons per hectare,0.4738390119384082,Tons per acre,Coarse woody debris,100-hr,Pre-thinning,Pre-thin,3,1,type_class_time_plot,mean
wd,hr0100,FOR06,t2,0.6744897501960817,9.779898089359694,Metric tons per hectare,4.3621311727741725,Tons per acre,Coarse woody debris,100-hr,Post-thinning,Post-thin,3,2,type_class_time_plot,mean
wd,hr0100,FOR07,t1,-0.6744897501960817,3.311778570039946,Metric tons per hectare,1.4771536886886465,Tons per acre,Coarse woody debris,100-hr,Pre-thinning,Pre-thin,3,1,type_class_time_plot,mean
wd,hr0100,FOR07,t2,0.3853204664075676,8.969352821582685,Metric tons per hectare,4.000603399457041,Tons per acre,Coarse woody debris,100-hr,Post-thinning,Post-thin,3,2,type_class_time_plot,mean
wd,hr0100,FOR08,t1,1.6448536269514715,110.1124205288526,Metric tons per hectare,49.11347927245878,Tons per acre,Coarse woody debris,100-hr,Pre-thinning,Pre-thin,3,1,type_class_time_plot,mean
wd,hr0100,FOR08,t2,-0.3853204664075676,4.418584520456491,Metric tons per hectare,1.970822712068016,Tons per acre,Coarse woody debris,100-hr,Post-thinning,Post-thin,3,2,type_class_time_plot,mean
wd,hr0100,FOR10,t1,-0.125661346855074,4.460538490565718,Metric tons per hectare,1.989535455203264,Tons per acre,Coarse woody debris,100-hr,Pre-thinning,Pre-thin,3,1,type_class_time_plot,mean
wd,hr0100,FOR10,t2,0.12566134685507413,5.513679315789183,Metric tons per hectare,2.4592682050799213,Tons per acre,Coarse woody debris,100-hr,Post-thinning,Post-thin,3,2,type_class_time_plot,mean
wd,hr1000r,FOR05,t1,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Pre-thinning,Pre-thin,4,1,type_class_time_plot,mean
wd,hr1000r,FOR05,t2,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Post-thinning,Post-thin,4,2,type_class_time_plot,mean
wd,hr1000r,FOR06,t1,-0.125661346855074,0,Metric tons per hectare,0,Tons per acre,Coarse woody debris,1000-hr rotten,Pre-thinning,Pre-thin,4,1,type_class_time_plot,mean
