plot_id,data_type,fuel_class,plot_tran,transect_id,transect_rep,lab_fuel,cont,trmt,diff
FOR07,dl,litter,FOR07_H3,H3,1,Litter,1.968503937,0.7874015748,-1.1811023621999999
FOR07,dl,litter,FOR07_H3,H3,2,Litter,1.5748031496,1.1811023621999999,-0.39370078740000003
FOR07,wd,hr0001,FOR07_H1,H1,1,1-hr,2.629935572349867,1.246977358479395,-1.3829582138704721
FOR07,wd,hr0001,FOR07_H2,H2,1,1-hr,0.4479364195573532,0.7377863718052876,0.2898499522479344
FOR07,wd,hr0001,FOR07_H3,H3,1,1-hr,0.7255257226858923,0.6051960970709908,-0.12032962561490157
FOR07,wd,hr0010,FOR07_H1,H1,1,10-hr,5.761505381948633,7.438234723089612,1.6767293411409785
FOR07,wd,hr0010,FOR07_H2,H2,1,10-hr,0.9677301103492247,1.4749408037962821,0.5072106934470574
FOR07,wd,hr0010,FOR07_H3,H3,1,10-hr,1.3158748550026178,2.406667928064142,1.0907930730615243
FOR07,wd,hr0100,FOR07_H1,H1,1,100-hr,3.0025477667128,4.606876625790876,1.6043288590780755
FOR07,wd,hr0100,FOR07_H2,H2,1,100-hr,1.428913299353139,2.9232184533641794,1.4943051540110404
FOR07,wd,hr0100,FOR07_H3,H3,1,100-hr,0,4.471715119216068,4.471715119216068
FOR07,wd,hr1000r,FOR07_H1,H1,1,1000-hr rotten,0,0,0
FOR07,wd,hr1000r,FOR07_H2,H2,1,1000-hr rotten,0,0,0
FOR07,wd,hr1000r,FOR07_H3,H3,1,1000-hr rotten,0,0,0
FOR07,wd,hr1000s,FOR07_H1,H1,1,1000-hr sound,10.523612926671143,129.24312125568,118.71950832900885
FOR07,wd,hr1000s,FOR07_H2,H2,1,1000-hr sound,50.081902559132075,87.79983542397841,37.71793286484633
FOR07,wd,hr1000s,FOR07_H3,H3,1,1000-hr sound,0,282.5047174520836,282.5047174520836
FOR08,dl,duff,FOR08_H1,H1,1,Duff,0.3937007874,0.3937007874,0
FOR08,dl,duff,FOR08_H1,H1,2,Duff,0,0.7874015748,0.7874015748
FOR08,dl,duff,FOR08_H2,H2,1,Duff,1.1811023621999999,0.7874015748,-0.3937007873999999
FOR08,dl,duff,FOR08_H2,H2,2,Duff,0.3937007874,1.968503937,1.5748031496
FOR08,dl,duff,FOR08_H3,H3,1,Duff,0.3937007874,0.7874015748,0.3937007874
FOR08,dl,duff,FOR08_H3,H3,2,Duff,0.7874015748,0.7874015748,0
FOR08,dl,litter,FOR08_H1,H1,1,Litter,0.3937007874,1.1811023621999999,0.7874015747999998
FOR08,dl,litter,FOR08_H1,H1,2,Litter,0.3937007874,0.3937007874,0
FOR08,dl,litter,FOR08_H2,H2,1,Litter,0.3937007874,1.1811023621999999,0.7874015747999998
FOR08,dl,litter,FOR08_H2,H2,2,Litter,0.3937007874,1.1811023621999999,0.7874015747999998
FOR08,dl,litter,FOR08_H3,H3,1,Litter,1.968503937,1.1811023621999999,-0.7874015748000001
FOR08,dl,litter,FOR08_H3,H3,2,Litter,3.937007874,1.5748031496,-2.3622047243999997
FOR08,wd,hr0001,FOR08_H1,H1,1,1-hr,0.052843306361523006,0.17691229520743465,0.12406898884591164
FOR08,wd,hr0001,FOR08_H2,H2,1,1-hr,0.07842326666678454,0.19094586768411614,0.11252260101733161
FOR08,wd,hr0001,FOR08_H3,H3,1,1-hr,0.21317436887013932,0.8596589968551483,0.646484627985009
FOR08,wd,hr0010,FOR08_H1,H1,1,10-hr,0.32346368810511406,0.2957992855841797,-0.027664402520934328
FOR08,wd,hr0010,FOR08_H2,H2,1,10-hr,0.9600867476286309,1.1706330962466496,0.21054634861801869
FOR08,wd,hr0010,FOR08_H3,H3,1,10-hr,0.6524399428422513,1.1932793452636685,0.5408394024214173
FOR08,wd,hr0100,FOR08_H1,H1,1,100-hr,0,0,0
FOR08,wd,hr0100,FOR08_H2,H2,1,100-hr,2.8352548040985956,0,-2.8352548040985956
FOR08,wd,hr0100,FOR08_H3,H3,1,100-hr,144.50518301327776,5.912468136204048,-138.59271487707372
FOR08,wd,hr1000r,FOR08_H1,H1,1,1000-hr rotten,0,0,0
FOR08,wd,hr1000r,FOR08_H2,H2,1,1000-hr rotten,46.58094728792019,0,-46.58094728792019
FOR08,wd,hr1000r,FOR08_H3,H3,1,1000-hr rotten,0,0,0
FOR08,wd,hr1000s,FOR08_H1,H1,1,1000-hr sound,0,0,0
FOR08,wd,hr1000s,FOR08_H2,H2,1,1000-hr sound,0,82.13773705103262,82.13773705103262
FOR08,wd,hr1000s,FOR08_H3,H3,1,1000-hr sound,0,0,0
FOR10,dl,duff,FOR10_H1,H1,1,Duff,0,0,0
FOR10,dl,duff,FOR10_H1,H1,2,Duff,0.3937007874,0.3937007874,0
FOR10,dl,duff,FOR10_H2,H2,1,Duff,0,0,0
FOR10,dl,duff,FOR10_H2,H2,2,Duff,0,0.3937007874,0.3937007874
FOR10,dl,duff,FOR10_H3,H3,1,Duff,0,0,0
FOR10,dl,duff,FOR10_H3,H3,2,Duff,0,0,0
FOR10,dl,litter,FOR10_H1,H1,1,Litter,2.7559055118,0.3937007874,-2.3622047244
FOR10,dl,litter,FOR10_H1,H1,2,Litter,1.1811023621999999,0.3937007874,-0.7874015747999998
FOR10,dl,litter,FOR10_H2,H2,1,Litter,0.7874015748,0.7874015748,0
FOR10,dl,litter,FOR10_H2,H2,2,Litter,1.1811023621999999,0.3937007874,-0.7874015747999998
FOR10,dl,litter,FOR10_H3,H3,1,Litter,1.5748031496,0.3937007874,-1.1811023621999999
FOR10,dl,litter,FOR10_H3,H3,2,Litter,1.5748031496,0.7874015748,-0.7874015748
FOR10,wd,hr0001,FOR10_H1,H1,1,1-hr,0.1788495606436711,0.6531974373204649,0.4743478766767938
FOR10,wd,hr0001,FOR10_H2,H2,1,1-hr,0.07842326666678454,1.3047967625081272,1.2263734958413426
FOR10,wd,hr0001,FOR10_H3,H3,1,1-hr,0,0.39538895906102384,0.39538895906102384
FOR10,wd,hr0010,FOR10_H1,H1,1,10-hr,2.694821815262182,1.5402160989091038,-1.154605716353078
FOR10,wd,hr0010,FOR10_H2,H2,1,10-hr,0.9600867476286309,2.6339244665549617,1.6738377189263307
FOR10,wd,hr0010,FOR10_H3,H3,1,10-hr,0,0.3030017139026628,0.3030017139026628
FOR10,wd,hr0100,FOR10_H1,H1,1,100-hr,5.9686063656097925,1.5262945166718527,-4.44231184893794
FOR10,wd,hr0100,FOR10_H2,H2,1,100-hr,0,4.3501952674888065,4.3501952674888065
FOR10,wd,hr0100,FOR10_H3,H3,1,100-hr,0,1.5013148310791045,1.5013148310791045
FOR10,wd,hr1000r,FOR10_H1,H1,1,1000-hr rotten,0,0,0
FOR10,wd,hr1000r,FOR10_H2,H2,1,1000-hr rotten,0,0,0
FOR10,wd,hr1000r,FOR10_H3,H3,1,1000-hr rotten,0,0,0
FOR10,wd,hr1000s,FOR10_H1,H1,1,1000-hr sound,0,55.5669840519854,55.5669840519854
FOR10,wd,hr1000s,FOR10_H2,H2,1,1000-hr sound,0,0,0
FOR10,wd,hr1000s,FOR10_H3,H3,1,1000-hr sound,0,0,0
