year,plot_id,timing,date,plot_tran,transect_n,transect_rep,data_type,fuel_class,value,value_si,units,units_si,lab_fuel,lab_year,lab_year_abbr,lab_type
2019,RxF01,2Post-burn,2019-10-16,RxF01_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2019,RxF01,2Post-burn,2019-10-16,RxF01_2,2,a,wd,hr1000r,98.48416066677929,220.80148821491917,tons_per_acre,tons_per_hectare,1000-hr rotten,2 Years post-fire (2019),2-y post-fire (2019),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_1,1,a,wd,hr0001,0.04013550283408355,0.08998379735401532,tons_per_acre,tons_per_hectare,1-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_1,1,a,wd,hr0010,1.1982145082456515,2.6863969274867507,tons_per_acre,tons_per_hectare,10-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_1,1,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_1,1,a,wd,hr1000r,0,0,tons_per_acre,tons_per_hectare,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_2,2,a,wd,hr0001,0.10702800755755615,0.23995679294404088,tons_per_acre,tons_per_hectare,1-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_2,2,a,wd,hr0010,0,0,tons_per_acre,tons_per_hectare,10-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_2,2,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_2,2,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2021,RxF01,3Post-burn,2021-09-22,RxF01_2,2,a,wd,hr1000r,17.521828899664154,39.28394039304703,tons_per_acre,tons_per_hectare,1000-hr rotten,4 Years post-fire (2021),4-y post-fire (2021),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_1,1,a,wd,hr0001,0.35293861668577303,0.7912883786095032,tons_per_acre,tons_per_hectare,1-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_1,1,a,wd,hr0010,3.039435698861881,6.814414836848337,tons_per_acre,tons_per_hectare,10-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_1,1,a,wd,hr0100,0,0,tons_per_acre,tons_per_hectare,100-hr,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
2016,RxF02,0Pre-burn,2016-08-17,RxF02_1,1,a,wd,hr1000s,0,0,tons_per_acre,tons_per_hectare,1000-hr sound,1 Year pre-fire (2016),1-y pre-fire (2016),Coarse woody debris
